133298;0;0;0;1 АП;;0;0;;s133298;
16100;0;0;0;13-й км;;2750898;5398767;16101,16099;s16100;
16101;0;0;0;;;2750636;5398799;16100,16102;s16101;
132158;0;0;0;14-км;;2767362;5402194;132159,72808;s132158;
132159;0;0;0;;;2767268;5402204;132158,132161;s132159;
151184;0;0;0;2 - ой Прилукский пер. (временная);;2748697;5388193;54197,15214;s151184;
133297;0;0;0;2 АП;;0;0;;s133297;
133303;0;0;0;2 ТП;;0;0;;s133303;
14580;0;0;0;21-я п-ка;;2763134;5387011;14581,58375;s14580;
14581;0;0;0;;;2763076;5386960;14580,14510,14550;s14581;
16094;0;0;0;2-е ворота;;2755694;5398317;16096,16079;s16094;
16136;0;0;0;;;2784015;5390678;16137,16138;s16136;
16137;0;0;0;;;2784067;5390641;16136;s16137;
15301;0;0;0;2-й Летний пер.;;2768248;5387541;15339,15342,15321;s15301;
15339;0;0;0;;;2768236;5387467;15301,15300;s15339;
133296;0;0;0;3 ТП;;0;0;;s133296;
15124;0;0;0;3-го Сентября;;2751281;5390512;15126,15123;s15124;
15126;0;0;0;3-го Сентября ул.;;2751338;5390502;15124,15125;s15126;
133299;0;0;0;4 АП;;0;0;;s133299;
133304;0;0;0;4 ТП;;0;0;;s133304;
15935;0;0;0;4-я больница;;2751662;5389102;15928,15206;s15935;
133301;0;0;0;5 АП;;0;0;;s133301;
133305;0;0;0;5 ТП;;0;0;;s133305;
14582;0;0;0;5-я больница;;2763275;5387233;58375,15618;s14582;
58375;0;0;0;;;2763426;5387116;14582,58366,14580;s58375;
133300;0;0;0;6 АП;;0;0;;s133300;
133302;0;0;0;7 АП;;0;0;;s133302;
133120;0;0;0;9-я больница с 8.00 до 9.00;;2749715;5386020;15689,15691,143037;s133120;
133121;0;0;0;9-я больница с 16.00 до 17.00;;2749762;5386116;15691,15688;s133121;
71952;0;0;0;А. Гаруна ул.;;2744419;5392286;71953,71954;s71952;
71953;0;0;0;;;2744321;5392355;71952,133193;s71953;
133147;0;0;0;а/в "Центральный";;2755616;5388998;69093,133148;s133147;
69093;0;0;0;;;2755549;5389041;133147,15443,15896;s69093;
132255;0;0;0;а/в Восточный;;2759958;5387778;15831,14795;s132255;
111243;0;0;0;а/в Московский;;2763828;5392870;132157,14422,14387;s111243;
132157;0;0;0;;;2763710;5392926;111243,14342;s132157;
132264;0;0;0;а/с Смиловичи;;2801373;5374863;132040,132353;s132264;
73207;0;0;0;Автозаводская;;2764842;5386909;15295,15346,15294,15704;s73207;
14626;0;0;0;Автозаводская ас;;2767626;5385934;14711,14712;s14626;
14711;0;0;0;;;2767612;5385802;14830,14626;20о; 
14830;0;0;0;;;2767697;5385751;14711,15954;20п;
14505;0;0;0;Автозаводская ст.м.;;2764572;5386802;15704,15832;s14505;
15294;0;0;0;;;2764775;5387003;73207,15621,15292;s15294;
15621;0;0;0;;;2764547;5387037;15294,15619;s15621;
15832;0;0;0;;;2764690;5386751;14505,15295,15706;s15832;
54189;0;0;0;Автопарк №1;;2757021;5387132;15447,14726,14804;s54189;
